gold_score,hyp,ref,METEOR,BLEU,NIST,WACC
0.0,"Sie können jederzeit zurückkehren, da unser Chat-Service-Fenster rund um die Uhr geöffnet ist","Sie können jederzeit wiederkommen, da unser Chat-Service-Fenster täglich rund um die Uhr geöffnet ist",0.8671220364560581,0.8547332286834717,3.555745643155941,0.8571428507566452
0.0,"Ich hoffe sehr, dass Sie eine Lösung finden","Ich hoffe wirklich, dass Sie eine Lösung finden werden",0.8017676767676769,0.7721847891807556,2.8178079747826112,0.7777777761220932
0.0,"Vielen Dank, dass Sie #PRS_ORG# kontaktiert haben. Es war mir eine Freude, Ihnen heute zu helfen.","Vielen Dank, dass Sie #PRS_ORG# kontaktiert haben, es hat mich gefreut, Ihnen helfen zu können.",0.6896627971254836,0.5,2.7303365869990834,0.46666663885116577
0.0,Ich wünsche Ihnen einen schönen Abend.,Ich wünsche Ihnen noch einen schönen Abend.,0.8757427021441488,0.8464817404747009,2.782737749319739,0.8571428507566452
-1.0,Der Iran meldet die niedrigste Anzahl täglicher COVID-19-Fälle seit mehr als einem Jahr,Iran meldet niedrigste Zahl täglicher COVID-19-Fälle seit über einem Jahr,0.8236208236208235,0.6153846383094788,2.569897592040662,0.5
0.0,"Das iranische Gesundheitsministerium hat täglich 1.686 neue COVID-19-Infektionen registriert, die niedrigste Zahl in den letzten 460 Tagen, was einen starken Rückgang der Fälle bedeutet, da die fünfte Welle der Pandemie abklingt.","Das Gesundheitsministerium des Iran hat 1.686 neue tägliche COVID-19-Infektionen verzeichnet, die niedrigste Zahl in den letzten 460 Tagen, was einen starken Rückgang der Fälle markiert, während die fünfte Welle der Pandemie abflaut.",0.841290076402078,0.780852198600769,4.215994314755911,0.71875
-2.0,"Laut Press TV gab das Ministerium am Samstag bekannt, dass 58 Iraner an der Krankheit gestorben seien, und stellte fest, dass von den in den letzten 24 Stunden entdeckten neuen Fällen 286 Patienten ins Krankenhaus eingeliefert wurden.","Laut Press TV meldete das Ministerium am Samstag, dass 58 Iraner an der Krankheit verstorben waren, und gab an, dass unter den festgestellten neuen Fällen in den letzten 24 Stunden 286 Patienten ins Krankenhaus kamen.",0.7889603595344388,0.7297297120094299,3.887267890278744,0.5428571403026581
0.0,"Es fügte hinzu, dass 6.152.524 Menschen im Land mit COVID-19 infiziert haben und 5.963.373 der Infizierten sich erholt und aus Krankenhäusern entlassen wurden.","Es fügte hinzu, dass 6.152.524 Personen im Land an COVID-19 erkrankten und dass 5.963.373 der infizierten Personen genasen und aus den Krankenhäusern entlassen wurden.",0.7654169278996865,0.6660545468330383,3.605454947991484,0.625
0.0,"Nach Angaben des Ministeriums befinden sich 3.126 COVID-19-Patienten auf Intensivstationen (ICU), während bisher im ganzen Iran 39.951.481 Diagnosetests durchgeführt wurden.","Nach Angaben des Ministeriums liegen 3.126 COVID-19-Patienten auf Intensivstationen, während bislang 39.951.481 Diagnosetests im Iran durchgeführt wurden.",0.8892471922606472,0.699999988079071,3.4269564121606217,0.4117646813392639
0.0,"Die Zahlen zum Coronavirus sind rückläufig, seit die Regierung eine Massenimpfkampagne gestartet hat.","Die Coronavirus-Zahlen verzeichnen einen rückläufigen Trend, seit die Regierung eine Massenimpfkampagne gestartet hat.",0.6639999999999999,0.6153846383094788,2.6045937304056794,0.6153846085071564
0.0,"Bisher haben 58.595.066 Personen die erste Dosis des COVID-Impfstoffs erhalten, 49.157.835 die zweite Dosis und 2.237.841 die Auffrischungsimpfung.","Bisher haben 58.595.066 Personen die erste Dosis der COVID-Impfung erhalten, 49.157.835 die zweite Dosis und 2.237.841 die Auffrischimpfung.",0.883633851970336,0.8333333134651184,3.59058561596468,0.8333333283662796
0.0,Die Gesamtzahl der im Land injizierten Impfstoffe erreichte 109.990.742 Dosen.,Die Gesamtzahl der im Land verabreichten Impfungen beläuft sich auf 109.990.742 Dosen.,0.6729729729729729,0.5731114745140076,2.6155933370962146,0.5833333432674408
0.0,In den vergangenen 24 Stunden meldeten 19 Provinzen fast keinen Todesfall oder nur einen Toten.,In den letzten 24 Stunden meldeten 19 Provinzen praktisch keine Toten oder nur einen Todesfall.,0.7725591715976331,0.6666666865348816,3.25,0.6666666567325592
-1.0,"Nach den neuesten Zahlen befinden sich acht Städte in den orangen Zonen, 119 in der gelben und 321 Städte in den blauen Zonen.","Den neuesten Zahlen zufolge befinden sich acht Städte in der orangefarbenen Zone, 119 in der gelben Kategorie und 321 in blauen Zonen.",0.7464856725784761,0.695652186870575,3.070977500432694,0.5909090936183929
0.0,Es gibt keine Stadt in der roten Zone mit hohem Risiko.,Keine Stadt befindet sich in der roten Hochrisikozone.,0.6048387096774195,0.3636363744735718,1.3208020839342969,0.0
0.0,"Der Erste Vizepräsident des Iran, Mohammad Mokhber, sagte am Mittwoch, das Land sei voll und ganz darauf vorbereitet, Auffrischimpfungen gegen das Coronavirus einzuführen.","Der erste Vizepräsident des Iran Mohammad Mokhber sagte am Mittwoch, dass das Land umfassend auf die Verabreichung der Coronavirus-Auffrischimpfungen vorbereitet sei.",0.5977393617021276,0.3913043439388275,2.4233367621734003,0.2857142686843872
